Node 1,Node 2,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Rating (MVA)
ELGI1Q,ELGI3-,0.6255,27.9708,-0.1022,90.0
ELGI1R,ELGI3-,0.6289,27.7707,-0.1949,90.0
ERRO11,ERRO1B,0.04,1.9413,0.0,240.0
ERRO11,ERRO5L,0.7108,26.2571,-0.0851,60.0
FAAR1Q,FAAR3J,0.8997,28.3302,-0.0492,90.0
FASN2Q,FASN31,0.2896,19.9146,-0.0075,120.0
FAUG41,FAUG12,0.1047,4.0403,-0.076,480.0
FAUG41,FAUG11,0.3185,8.4523,-0.1495,240.0
FERO1-,FERO3-,0.3506,10.5053,-0.0744,90.0
FETT1-,FETT3S,0.38,25.0638,-0.0263,120.0
FWIL1Q,FWIL3-,0.3663,26.2141,-0.0266,120.0
GLEN1-,GLEN5-,0.5499,21.936,-0.3488,70.0
GLFA1-,GLFA3-,0.5915,27.2269,-0.0002,90.0
GREM1K,GREM3-,0.5828,24.9932,0.0,90.0
GRIF1T,GRIF3K,0.2466,16.2481,-0.0116,120.0
INNE1J,INNE3-,0.45,26.774,-0.0494,90.0
INVB2A,INVR11,0.2217,4.3026,-0.0409,240.0
INVB2B,INVR11,0.2164,4.257,-0.0381,240.0
KEIT12,KEIT31,0.5567,28.639,-0.0492,90.0
KEIT2R,KEIT12,0.3328,8.9105,-0.2242,240.0
KIIN11,KIIN3-,0.7745,24.8768,-0.0079,45.0
KINT21,KINT11,0.3751,10.2306,-0.0845,240.0
KINT2A,KINT11,0.3771,10.193,-0.1037,240.0
KINT4A,KINT21,0.0271,1.6306,-0.126,1200.0
KIOR1-,KIOR5-,1.7809,45.4318,-0.0001,22.0
KNOC21,KNOC11,0.2216,4.311,-0.0437,240.0
KNOC21,KNOC11,0.2205,4.3319,-0.0355,240.0
LOCB21,LOCB11,0.22,8.197,-0.0263,240.0
LOCH1-,LOCH5K,0.9553,38.766,-0.0122,36.0
MACD1Q,MACD3-,0.3691,25.264,-0.0505,90.0
MYBS1S,MYBS31,0.2645,24.6069,-0.0264,120.0
MYBS1S,MYBS31,0.3773,24.9805,-0.0268,120.0
PEHE11,PEHS5-,2.5547,41.9222,0.0,15.0
PEHE41,PEHE21,0.0263,1.6265,-0.1101,1200.0
PERS2R,PERS11,0.3341,8.8645,-0.2414,240.0
SFIL1Q,SFIL5-,2.0136,39.9493,-0.0199,25.0
SHIN11,SHIN5-,1.5767,75.5085,-0.0038,40.0
SLOY1M,SLOY5M,0.79,22.8864,-0.0157,50.0
SLOY1N,SLOY5N,0.7941,22.9663,-0.0144,50.0
SPIT21,SPIT11,0.2184,8.2304,-0.0228,240.0
SPIT21,SPIT11,0.2184,8.1846,-0.0213,240.0
SPIT21,SPIT11,0.1287,4.99,-0.0382,360.0
SPIT21,SPIT11,0.1307,4.99,-0.0407,360.0
STRI1R,STRI3-,0.497,24.3283,-0.0002,90.0
STRL1-,STRL3A,0.2008,17.6489,-0.0003,120.0
TARL1K,TARL3-,1.0396,39.6197,-0.0261,30.0
TAYN1R,TAYN3-,0.3154,28.7872,-0.0033,90.0
THUS11,THUS3-,0.2613,24.7403,-0.0266,120.0
THUS21,THUS11,0.0985,3.9363,-0.0584,480.0
TOMT2K,TOMT11,0.0981,3.9384,-0.0517,480.0
TUMB1Q,TUMB5-,1.6295,77.7448,-0.0986,21.0
TUMB1R,TUMB5-,1.6066,76.6498,-0.0986,21.0
TUMM2K,TUMM1K,0.2595,7.829,-0.0229,240.0
VIKE1Q,VIKE3Q,0.3704,11.1049,-0.0003,135.0
WIOW1Q,WIOW3-,0.8854,24.6508,-0.0118,60.0
ALNE1R,ALNE3J,0.3696,26.0307,-0.0031,120.0
ANSU1-,ANSU3-,0.8997,24.8949,-0.0163,45.0
ARBR1Q,ARBR3-,0.7044,28.2801,-0.0117,45.0
ARBR1R,ARBR3-,0.7038,28.2579,-0.0117,45.0
ARMO1-,ARMO3-,0.615,17.8227,-0.0129,60.0
BEAU11,BEAU1A,0.1833,3.7288,0.0,150.0
BEAU11,BEAU1B,0.1833,3.7288,0.0,150.0
BEAU11,BEAU3-,1.0404,27.736,-0.0117,45.0
BEAU21,BEAU11,0.6786,12.2312,-0.0003,120.0
BEAU4-,BEAU21,0.0374,1.5937,-0.0004,1200.0
BERB2Q,BERB3-,0.292,19.8312,-0.0092,120.0
BHLA1-,BHLA3-,0.1987,17.5739,-0.0199,120.0
BRCW2K,BRCW3-,0.2893,19.9146,-0.0159,120.0
CAAD1Q,CAAD31,0.2543,24.832,-0.0049,120.0
CAAD1Q,CAAD32,0.2546,24.832,-0.0049,120.0
CAAD1R,CAAD32,0.2558,24.832,-0.007,120.0
CEAN1Q,CEAN5-,0.9943,36.7199,-0.012,30.0
CLAC1Q,CLAC5-,0.7672,25.5718,-0.0851,60.0
CLUN1R,CLUN5K,0.7051,19.5373,-0.0788,60.0
CRAI11,CRAI3-,1.7798,29.847,-0.0541,30.0
CRSS2B,CRSS11,0.2459,9.0175,-0.0242,240.0
DAAS2-,DAAS3-,0.292,19.8312,-0.0092,120.0
DEAN1Q,DEAN5-,1.0125,25.0796,-0.1926,40.0
DOUN21,DOUN11,0.2237,7.9135,-0.0246,240.0
DUDH1Q,DUDH3-,0.7798,24.9211,-0.0118,60.0
DUGR1Q,DUGR3-,0.6165,17.6559,-0.0129,60.0
DUNO1Q,DUNO3-,1.9925,24.4077,-0.0163,45.0
DYCE1J,DYCE3-,0.3975,24.7301,-0.0165,90.0
EDIN1-,EDIN3-,0.5584,16.9908,-0.0118,60.0
ERRO11,ERRO1A,0.04,1.9413,0.0,240.0
ERRO11,ERRO5J,0.7049,26.0405,-0.0851,60.0
FAAR1R,FAAR3K,0.8968,28.2413,-0.0492,90.0
FARI2K,FARI1K,0.4955,8.3186,-0.0546,120.0
FASN2R,FASN31,0.2892,20.1646,-0.0146,120.0
FAUG11,FAUG3-,0.5432,24.9941,-0.0141,90.0
