Geo Point,Geo Shape,Export Date,Name,Operating Voltage
"57.49096101296538, -2.285004053123614","{""coordinates"": [[[-2.285536812552085, 57.48990234195867, 0.0], [-2.285542774174061, 57.489905528941804, 0.0], [-2.286962130270612, 57.490665101504256, 0.0], [-2.284472263089006, 57.49201735120014, 0.0], [-2.28338842918915, 57.49144727723098, 0.0], [-2.283283375681912, 57.491379536032575, 0.0], [-2.283050783931868, 57.4912562132521, 0.0], [-2.285536812552085, 57.48990234195867, 0.0]]], ""type"": ""Polygon""}",30/01/2026,NEW DEER SUBSTATION,400000
"55.69688449668249, -5.458227192750068","{""coordinates"": [[[-5.459523652463925, 55.69661230283319, 0.0], [-5.459011885716557, 55.69752699814421, 0.0], [-5.456930167755495, 55.69715723545238, 0.0], [-5.457444250828796, 55.69624141422515, 0.0], [-5.459523652463925, 55.69661230283319, 0.0]]], ""type"": ""Polygon""}",30/01/2026,CROSSAIG SUBSTATION,220000
"57.50407409026601, -3.599279622068882","{""coordinates"": [[[-3.598535992257033, 57.504174039746665, 0.0], [-3.598506834779839, 57.5041571725751, 0.0], [-3.598492982283412, 57.5041491637101, 0.0], [-3.598555553991328, 57.504117888188055, 0.0], [-3.598555749841048, 57.50411778688254, 0.0], [-3.598707424201556, 57.50404197606317, 0.0], [-3.599158076167269, 57.503816726193556, 0.0], [-3.599440856555143, 57.50367538169775, 0.0], [-3.599443159402367, 57.50367422950242, 0.0], [-3.600068140425811, 57.50403483534887, 0.0], [-3.600056806911768, 57.50404053120152, 0.0], [-3.599770476200697, 57.5041843567489, 0.0], [-3.599633115722961, 57.5042533535814, 0.0], [-3.599377845583936, 57.5042912235357, 0.0], [-3.599035262595422, 57.504462857123784, 0.0], [-3.598535992257033, 57.504174039746665, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BERRYBURN SUBSTATION,275000
"57.45196647804941, -2.8498063638745834","{""coordinates"": [[[-2.850918431931373, 57.45184043112228, 0.0], [-2.849715419450592, 57.4524601264655, 0.0], [-2.848782868580097, 57.45193571281824, 0.0], [-2.84955383733667, 57.451538240752534, 0.0], [-2.850072115086777, 57.45183008010465, 0.0], [-2.85050519743936, 57.45160670707345, 0.0], [-2.850918431931373, 57.45184043112228, 0.0]]], ""type"": ""Polygon""}",30/01/2026,CAIRNFORD SUBSTATION,275000
"58.512155612225605, -3.87913210499073","{""coordinates"": [[[-3.881078555555062, 58.5117150051448, 0.0], [-3.880109185098316, 58.51308485584899, 0.0], [-3.879357428950784, 58.51303221208692, 0.0], [-3.877196126198154, 58.51260207635021, 0.0], [-3.878215979615359, 58.511160568868966, 0.0], [-3.881078555555062, 58.5117150051448, 0.0]]], ""type"": ""Polygon""}",30/01/2026,CONNAGILL SUBSTATION,275000
"57.698819762318266, -4.29972851985963","{""coordinates"": [[[-4.301635931155199, 57.69819472612294, 0.0], [-4.301700546101781, 57.698252217670806, 0.0], [-4.300801020002677, 57.69986563710103, 0.0], [-4.300682439206734, 57.69990502133331, 0.0], [-4.297820032497365, 57.699442706651546, 0.0], [-4.297762261742414, 57.69937725997688, 0.0], [-4.298682470711276, 57.69772391538131, 0.0], [-4.301635931155199, 57.69819472612294, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FYRISH SUBSTATION,275000
"57.42199104091811, -4.245616298386233","{""coordinates"": [[[-4.247865992499835, 57.42195337065652, 0.0], [-4.247869292366808, 57.42195742533404, 0.0], [-4.247882837772758, 57.42199145435506, 0.0], [-4.247817275223841, 57.42201089199881, 0.0], [-4.247749256317023, 57.42224370760699, 0.0], [-4.247729570643307, 57.42231109087661, 0.0], [-4.247718130813968, 57.422350247247245, 0.0], [-4.247674914096518, 57.42237419302027, 0.0], [-4.247624787215141, 57.4224019731081, 0.0], [-4.247375515235227, 57.4225401040253, 0.0], [-4.24727466571904, 57.422595987256344, 0.0], [-4.246551010693405, 57.42299698284715, 0.0], [-4.246587244845684, 57.4230188542582, 0.0], [-4.246083783868968, 57.423297632234004, 0.0], [-4.24604817096433, 57.423297045264384, 0.0], [-4.245973347706365, 57.423295602979245, 0.0], [-4.245068648774158, 57.42327816205959, 0.0], [-4.243708207592781, 57.422557720897046, 0.0], [-4.243778838679193, 57.42225313890452, 0.0], [-4.244030088516699, 57.42211442827571, 0.0], [-4.244168934951825, 57.42203777458017, 0.0], [-4.244267835788654, 57.421983173081365, 0.0], [-4.244247373864444, 57.42185814490039, 0.0], [-4.24400480204858, 57.421730146277255, 0.0], [-4.243910432216337, 57.4216803495927, 0.0], [-4.243791040231721, 57.42161735860317, 0.0], [-4.243695858923637, 57.421564062885764, 0.0], [-4.243653720061756, 57.42149491527289, 0.0], [-4.243850842736919, 57.42112609778679, 0.0], [-4.243868440546737, 57.42110748977853, 0.0], [-4.243882140432161, 57.421094585125616, 0.0], [-4.243905985445664, 57.42107464378467, 0.0], [-4.243922118742979, 57.42106258533934, 0.0], [-4.243929742699595, 57.42105490168364, 0.0], [-4.243943312113494, 57.4210412265942, 0.0], [-4.243991242174792, 57.420999281924374, 0.0], [-4.243997203806768, 57.42099600382411, 0.0], [-4.244534188513976, 57.42070057941192, 0.0], [-4.244666948680092, 57.4206810870537, 0.0], [-4.245200289299987, 57.42074539674604, 0.0], [-4.245245049911906, 57.42075180520959, 0.0], [-4.245784159362822, 57.42087817139923, 0.0], [-4.245880803820382, 57.42085582636194, 0.0], [-4.246050001077147, 57.42081670540178, 0.0], [-4.246271600689431, 57.42087337871759, 0.0], [-4.246331511493757, 57.42095008883885, 0.0], [-4.246385404059887, 57.42101908887332, 0.0], [-4.246456542726285, 57.42103576413454, 0.0], [-4.246653272450741, 57.42113984317585, 0.0], [-4.247262871164978, 57.421462344103254, 0.0], [-4.247555084593651, 57.42161693203747, 0.0], [-4.24781194389072, 57.42175281523452, 0.0], [-4.24785112767771, 57.421874408835976, 0.0], [-4.247832745629998, 57.42187666878366, 0.0], [-4.247808214780507, 57.42187969440651, 0.0], [-4.247830412790067, 57.421908159731224, 0.0], [-4.247859727754212, 57.42194567225077, 0.0], [-4.247865992499835, 57.42195337065652, 0.0]]], ""type"": ""Polygon""}",30/01/2026,KNOCKNAGAEL SUBSTATION,275000
"58.479314002299446, -3.451784296024964","{""coordinates"": [[[-3.450269728209176, 58.48027877467067, 0.0], [-3.450302956379038, 58.48017287361178, 0.0], [-3.450301382144473, 58.48015423493873, 0.0], [-3.450299433593354, 58.48013109132642, 0.0], [-3.450283112675092, 58.48008754048194, 0.0], [-3.450245256882838, 58.480049945916875, 0.0], [-3.450174303130215, 58.47998491597016, 0.0], [-3.450080786366827, 58.47989922100857, 0.0], [-3.449408850757152, 58.47931076914584, 0.0], [-3.449280273355233, 58.47919816323936, 0.0], [-3.448800493368767, 58.47877797659818, 0.0], [-3.449446630637674, 58.4785754129112, 0.0], [-3.452364152195274, 58.47766070553988, 0.0], [-3.452404932423164, 58.477647919015865, 0.0], [-3.453527158075052, 58.478632211056045, 0.0], [-3.453597051724906, 58.478693496546946, 0.0], [-3.453621216258595, 58.47871469967935, 0.0], [-3.454049747238756, 58.4792839281539, 0.0], [-3.454075060170761, 58.47931755075474, 0.0], [-3.45429384615815, 58.479608165089175, 0.0], [-3.45463797938224, 58.47991077923278, 0.0], [-3.453935953078505, 58.48013084907392, 0.0], [-3.453909473602683, 58.480139152535294, 0.0], [-3.453609258046085, 58.4802316065783, 0.0], [-3.453556994225908, 58.4802571609527, 0.0], [-3.453515587841177, 58.48028902189439, 0.0], [-3.453435630819342, 58.48031405733839, 0.0], [-3.451782535887492, 58.4808316818616, 0.0], [-3.451544594282317, 58.480906184442254, 0.0], [-3.451301167570762, 58.48098240588571, 0.0], [-3.450669890840695, 58.480442706079366, 0.0], [-3.450491606236714, 58.48036343131328, 0.0], [-3.450416598663559, 58.48036484532976, 0.0], [-3.450383781938716, 58.48036546788824, 0.0], [-3.450304541371451, 58.480366956647224, 0.0], [-3.450272855279702, 58.48036754842955, 0.0], [-3.45027151390075, 58.480329467386916, 0.0], [-3.450269728209176, 58.48027877467067, 0.0]]], ""type"": ""Polygon""}",30/01/2026,SPITTAL SUBSTATION,275000
"56.52121640646204, -2.977839895546524","{""coordinates"": [[[-2.981127038335718, 56.52184498689152, 0.0], [-2.97975113003368, 56.52219434321864, 0.0], [-2.979702459688693, 56.52214124275666, 0.0], [-2.979581512945892, 56.52199830192052, 0.0], [-2.979563380404531, 56.521976531880284, 0.0], [-2.977489554271207, 56.52250235587448, 0.0], [-2.976983973974398, 56.52262589769088, 0.0], [-2.976973135391874, 56.52262854348973, 0.0], [-2.976766734267238, 56.5226827433605, 0.0], [-2.976012955173356, 56.52288068282347, 0.0], [-2.975671422322191, 56.52247688335833, 0.0], [-2.975627840828563, 56.52242552027514, 0.0], [-2.975589622775823, 56.522380458059835, 0.0], [-2.975349892556886, 56.52209787565704, 0.0], [-2.975329494564012, 56.52207387669053, 0.0], [-2.975292587489191, 56.522030466210225, 0.0], [-2.975157228772433, 56.5218712556807, 0.0], [-2.974808880634344, 56.521461487795115, 0.0], [-2.975044621161363, 56.52140115810462, 0.0], [-2.975473486961749, 56.52129015784016, 0.0], [-2.975574094977522, 56.52126411257217, 0.0], [-2.97561998552804, 56.521253599777715, 0.0], [-2.97570245665776, 56.521116999739846, 0.0], [-2.97540019101432, 56.52077817191596, 0.0], [-2.975175397297962, 56.520515363394146, 0.0], [-2.976058920874379, 56.52028741844532, 0.0], [-2.977173168885495, 56.5199998789872, 0.0], [-2.977519112463423, 56.519910620131924, 0.0], [-2.977646655693374, 56.51987860128476, 0.0], [-2.978526999811789, 56.51965310562219, 0.0], [-2.97854234890854, 56.51964912051113, 0.0], [-2.978551411361672, 56.51964677696126, 0.0], [-2.978853008577002, 56.519566910104594, 0.0], [-2.978864567897495, 56.51956389009506, 0.0], [-2.97895271595411, 56.519540869160124, 0.0], [-2.978972702495355, 56.519535644434434, 0.0], [-2.979217578959856, 56.5194716858776, 0.0], [-2.979244991212482, 56.51950419109064, 0.0], [-2.979387868482319, 56.51966217899661, 0.0], [-2.979647207437444, 56.51998207770058, 0.0], [-2.979776328006218, 56.520141130490885, 0.0], [-2.979675144145096, 56.520166680605236, 0.0], [-2.979773399688787, 56.52023106977028, 0.0], [-2.979788867972732, 56.52027243787077, 0.0], [-2.979850920694976, 56.520342853560116, 0.0], [-2.979935025307973, 56.520438287610865, 0.0], [-2.980034451507922, 56.52055112037143, 0.0], [-2.980272142168067, 56.52084312569284, 0.0], [-2.980498807171816, 56.52112973708388, 0.0], [-2.980528698317735, 56.52116058728361, 0.0], [-2.980529989719678, 56.521162382062535, 0.0], [-2.980561094376335, 56.521194023188976, 0.0], [-2.980587282704381, 56.521224358145695, 0.0], [-2.981127038335718, 56.52184498689152, 0.0]]], ""type"": ""Polygon""}",30/01/2026,TEALING SUBSTATION,275000
"58.56426673547937, -3.5127205370028607","{""coordinates"": [[[-3.513362692548234, 58.562873267987996, 0.0], [-3.515267275689417, 58.5647979729947, 0.0], [-3.512078917378966, 58.5656601967362, 0.0], [-3.510173455967903, 58.5637356625684, 0.0], [-3.513362692548234, 58.562873267987996, 0.0]]], ""type"": ""Polygon""}",30/01/2026,THURSO SOUTH SUBSTATION,275000
