Site Code,Site Name,Voltage (kV)
CAIN,CAIRNFORD,33.0
CALD,CALEDONIA OFFSHORE,400.0
CASS,CASSLEY,132.0
CASS,CASSLEY,33.0
CEAN,CEANNACROC,132.0
CHLS,CHLEANSAID,132.0
CLAC,CLACHAN,11.0
CLGO,CLASH GOUR WIND FARM,275.0
CMBS,CAMBUSHINNIE,400.0
COFD,COACHFORD,400.0
COGA,CORRIEGARTH WIND FARM,132.0
CONN,CONNAGILL,132.0
CONN,CONNAGILL,275.0
COST,COSTA HEAD,132.0
COST,COSTA HEAD,33.0
CRAR,CRARAE,33.0
CRDH,CREAG DHUBH,132.0
CREA,CREAG RIABHACH WINDFARM,33.0
CRSN,CROSSAIG NORTH,132.0
CRSN,CROSSAIG NORTH,275.0
CRSS,CROSSAIG,275.0
CRSS,CROSSAIG,33.0
CULL,CULLIGRAN,11.0
DEAW,DEANIE WEST,11.0
DORE,DORENELL WIND FARM,132.0
DORE,DORENELL WIND FARM,33.0
DOUN,DOUNREAY,33.0
DUGR,DUNVEGAN GRID,132.0
DUNA,DUNACH WIND FARM,132.0
EARR,EARRAGHAIL,275.0
EDIN,EDINBANE 132/33KV,132.0
EDIN,EDINBANE 132/33KV,33.0
ELCH,ELCHIES,132.0
ELGI,ELGIN,33.0
ELIB,ELLIBISTER SWITCHING STATION,132.0
ENEI,ENERGY ISLES WIND FARM,132.0
ERRO,ERROCHTY,132.0
ERRO,ERROCHTY,33.0
ERRO,ERROCHTY,11.0
FAUG,FORT AUGUSTUS,275.0
FAUG,FORT AUGUSTUS,400.0
FERO,FERNOCH WIND,33.0
FETT,FETTERESSO,132.0
FETT,FETTERESSO,400.0
FIDD,FIDDES,132.0
FIDD,FIDDES,33.0
FOYE,FOYERS,275.0
FRAS,FRASERBURGH,132.0
FWIL,FORT WILLIAM,33.0
FYRI,FYRISH,275.0
GLDO,GLENDOE SUBSTATION,132.0
GLEN,GLENMORISTON,11.0
GLFA,GLENFARCLAS,33.0
GLUE,GLEN ULLINISH EXTENSION,132.0
GRIF,GRIFFIN WINDFARM (SSE),33.0
GRUB,GRUDIE BRIDGE,33.0
HEST,HESTA HEAD,33.0
HOME,HOLLANDMEY,132.0
HVBY,HAVBREDEY OFFSHORE WIND FARM,400.0
INNE,INVERNESS,132.0
