Geo Point,Geo Shape,Export Date,Name,Operating Voltage
"57.33610822427008, -4.160361691078753","{""coordinates"": [[[-4.161025268857959, 57.33626617078835, 0.0], [-4.159987507926768, 57.336440072448354, 0.0], [-4.15995347297166, 57.33638395902836, 0.0], [-4.159718063704433, 57.335996956672915, 0.0], [-4.159738927871166, 57.335992789512765, 0.0], [-4.159716440202762, 57.335952327107094, 0.0], [-4.160198096114775, 57.335866168675985, 0.0], [-4.160728841973351, 57.335771225589276, 0.0], [-4.160733571190764, 57.33577912338647, 0.0], [-4.16076277491322, 57.33582788328124, 0.0], [-4.161025268857959, 57.33626617078835, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FARR SUBSTATION,132000
"57.3175475137283, -4.374715542109783","{""coordinates"": [[[-4.374664882185409, 57.31830679506476, 0.0], [-4.374627790504992, 57.31831695422888, 0.0], [-4.374558843443966, 57.31829013023699, 0.0], [-4.373512939082908, 57.317867399906646, 0.0], [-4.373402468319242, 57.31782274919155, 0.0], [-4.373398180473225, 57.31780758721939, 0.0], [-4.373388440488859, 57.31777314181866, 0.0], [-4.374740565950884, 57.31679514227236, 0.0], [-4.374832024662331, 57.31678788843803, 0.0], [-4.376028932837457, 57.31727208482312, 0.0], [-4.37604124621022, 57.317322353360126, 0.0], [-4.374690689823043, 57.31829972631771, 0.0], [-4.374664882185409, 57.31830679506476, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FARIGAIG SUBSTATION,132000
"56.34637172150239, -5.239453978957526","{""coordinates"": [[[-5.23944162211893, 56.346511995445695, 0.0], [-5.239434593234336, 56.346506674054204, 0.0], [-5.239169877561731, 56.346614842215615, 0.0], [-5.239167432241786, 56.34661300037235, 0.0], [-5.239161588655882, 56.346608598167904, 0.0], [-5.238885699770682, 56.346400775603456, 0.0], [-5.238881817386943, 56.346397851230876, 0.0], [-5.239293128247977, 56.346232179655615, 0.0], [-5.239459441711587, 56.346164189929134, 0.0], [-5.239465528355476, 56.34615172914211, 0.0], [-5.239466696613628, 56.34614933787465, 0.0], [-5.239609608747882, 56.34609097692463, 0.0], [-5.239611633541953, 56.3460924989412, 0.0], [-5.239613578783407, 56.34609396101032, 0.0], [-5.240006098844669, 56.34638902077228, 0.0], [-5.239533011785743, 56.34658118571583, 0.0], [-5.23944162211893, 56.346511995445695, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FERNOCH SUBSTATION,132000
"56.82087651363496, -5.07828830209568","{""coordinates"": [[[-5.078966263986267, 56.821069817922364, 0.0], [-5.078964143077747, 56.82106948107634, 0.0], [-5.078843210177221, 56.82105025843833, 0.0], [-5.078842439841809, 56.82105025947936, 0.0], [-5.078797668282922, 56.82105019628426, 0.0], [-5.078761462171655, 56.82105822715681, 0.0], [-5.078710887007267, 56.821076122783936, 0.0], [-5.078686679157058, 56.82109812247162, 0.0], [-5.078584100939265, 56.821195791045206, 0.0], [-5.078515496726252, 56.82126443234001, 0.0], [-5.078441285743284, 56.82133865913995, 0.0], [-5.078436365419466, 56.82133720847788, 0.0], [-5.077739799660349, 56.8211317741451, 0.0], [-5.077636879813375, 56.82110142004102, 0.0], [-5.077659872970576, 56.821077914377604, 0.0], [-5.07765936389944, 56.82107776334694, 0.0], [-5.077692196296145, 56.8210444014585, 0.0], [-5.077705964741409, 56.821030411449705, 0.0], [-5.077706255405247, 56.82103049775861, 0.0], [-5.07771411476828, 56.82102246206767, 0.0], [-5.077751210978389, 56.82098453115369, 0.0], [-5.077849758977758, 56.820892661578995, 0.0], [-5.077899672005538, 56.82084612672327, 0.0], [-5.077821306797983, 56.82082125298145, 0.0], [-5.077586460967805, 56.82074671159559, 0.0], [-5.077882786442697, 56.8204412455369, 0.0], [-5.077902173305037, 56.82042125980666, 0.0], [-5.078024727079251, 56.82045652676954, 0.0], [-5.07807885565557, 56.820472143406924, 0.0], [-5.078395600989022, 56.82056350606679, 0.0], [-5.078434824945614, 56.82057487029026, 0.0], [-5.078471664149249, 56.82058553832142, 0.0], [-5.078929509873816, 56.82071760479938, 0.0], [-5.079090088771322, 56.82076669494133, 0.0], [-5.079090704144108, 56.820766882891746, 0.0], [-5.078921011686752, 56.82094131830945, 0.0], [-5.078929744296995, 56.820960032882404, 0.0], [-5.078934179645582, 56.82096953228304, 0.0], [-5.079017844718215, 56.82101146624886, 0.0], [-5.07901144610686, 56.821018702820766, 0.0], [-5.079007210504187, 56.82102349499731, 0.0], [-5.07900446654122, 56.82102660991007, 0.0], [-5.078998249588122, 56.82103364334612, 0.0], [-5.078992662618599, 56.82103996460448, 0.0], [-5.078986678083228, 56.82104673432625, 0.0], [-5.078969236869606, 56.82106645646181, 0.0], [-5.078966263986267, 56.821069817922364, 0.0]]], ""type"": ""Polygon""}",30/01/2026,FORT WILLIAM SUBSTATION,132000
"56.461805675674704, -2.9965491339601966","{""coordinates"": [[[-2.997005374723612, 56.46173738251941, 0.0], [-2.996742989171084, 56.46179492359012, 0.0], [-2.996779303179759, 56.46184377914165, 0.0], [-2.996832802125238, 56.461915755819284, 0.0], [-2.996839712357216, 56.46192505142041, 0.0], [-2.996842912806854, 56.46192951798174, 0.0], [-2.996254661467997, 56.46206083313857, 0.0], [-2.996087927983622, 56.461845209315555, 0.0], [-2.996075103323188, 56.4618286243709, 0.0], [-2.996071701876219, 56.461824224990266, 0.0], [-2.996067873755831, 56.461819210898014, 0.0], [-2.996038480434172, 56.4617812625282, 0.0], [-2.996030085712863, 56.46177054845893, 0.0], [-2.996036215934374, 56.4617691515846, 0.0], [-2.996160287574498, 56.46174147179405, 0.0], [-2.996280972960488, 56.46171462766767, 0.0], [-2.996435406000998, 56.46168131316813, 0.0], [-2.996648902013158, 56.46163530525494, 0.0], [-2.996975992383884, 56.461564395869026, 0.0], [-2.997005973940493, 56.461557883833045, 0.0], [-2.997031106595649, 56.46159001547763, 0.0], [-2.997111626146317, 56.46169296028862, 0.0], [-2.997125727270228, 56.461710988570815, 0.0], [-2.997005691500336, 56.46173782830295, 0.0], [-2.997005374723612, 56.46173738251941, 0.0]]], ""type"": ""Polygon""}",30/01/2026,GLENAGNES SUBSTATION,132000
"57.61938377928765, -4.8312167813146","{""coordinates"": [[[-4.831943281241373, 57.61942388981806, 0.0], [-4.831845774046581, 57.619424484973436, 0.0], [-4.831874444499479, 57.61957351196437, 0.0], [-4.831874500291626, 57.61957379829805, 0.0], [-4.831908501843114, 57.61978782656104, 0.0], [-4.83190941881226, 57.61979360172897, 0.0], [-4.831829420542814, 57.61979762383311, 0.0], [-4.831452135006415, 57.61981658659222, 0.0], [-4.831452413855584, 57.61980865829254, 0.0], [-4.831452688556515, 57.619800891851945, 0.0], [-4.831370003340015, 57.619803919712346, 0.0], [-4.830679848330839, 57.61982919384846, 0.0], [-4.83060669918839, 57.61983191136531, 0.0], [-4.830590015732925, 57.61967995541231, 0.0], [-4.830579333262073, 57.61958358444086, 0.0], [-4.830567926745853, 57.61958323340198, 0.0], [-4.830528630204879, 57.619582024426755, 0.0], [-4.830313018967626, 57.619609322852405, 0.0], [-4.830191653991432, 57.619609076237396, 0.0], [-4.83055129179564, 57.61918345511868, 0.0], [-4.830639324843112, 57.61912619087619, 0.0], [-4.830933299628162, 57.61893495977716, 0.0], [-4.831757290580318, 57.61890992198264, 0.0], [-4.831976822233418, 57.61909200242871, 0.0], [-4.831998260223092, 57.61926386577243, 0.0], [-4.832017133541508, 57.61942343845197, 0.0], [-4.831943281241373, 57.61942388981806, 0.0]]], ""type"": ""Polygon""}",30/01/2026,GRUDIE BRIDGE SUBSTATION,132000
"57.45386279287383, -4.246726543079803","{""coordinates"": [[[-4.24769635692482, 57.45363152779394, 0.0], [-4.247693928208728, 57.45365577799488, 0.0], [-4.247640154748113, 57.45368705501427, 0.0], [-4.247570591981751, 57.45372751643196, 0.0], [-4.247592250321039, 57.45373845005107, 0.0], [-4.247601314522012, 57.45374302642849, 0.0], [-4.247625262529899, 57.45375511517164, 0.0], [-4.247632109118324, 57.45375856927743, 0.0], [-4.247431436967593, 57.45387344421733, 0.0], [-4.247358858042217, 57.45391499173326, 0.0], [-4.246996839137702, 57.454122044521775, 0.0], [-4.246982022081337, 57.45413069576413, 0.0], [-4.246839045306623, 57.454059267618966, 0.0], [-4.2463017149305, 57.45437061769547, 0.0], [-4.246277672947709, 57.454384548718004, 0.0], [-4.246267551251967, 57.454390749404425, 0.0], [-4.246132450421807, 57.45433520117673, 0.0], [-4.245929868763907, 57.45425300051493, 0.0], [-4.245673458838502, 57.45414929509524, 0.0], [-4.245655940664877, 57.4541419875903, 0.0], [-4.245711168671884, 57.45410951920941, 0.0], [-4.245867938490076, 57.454017354966204, 0.0], [-4.245839388766953, 57.45400222904565, 0.0], [-4.245940702171767, 57.45394397668956, 0.0], [-4.245948683157492, 57.453947990230866, 0.0], [-4.245963097212424, 57.45395524069994, 0.0], [-4.246000755718528, 57.45393270786297, 0.0], [-4.246321475982224, 57.45375000438236, 0.0], [-4.246764267634298, 57.4534954637777, 0.0], [-4.24681708735851, 57.453465099094444, 0.0], [-4.246903727569197, 57.45341715330665, 0.0], [-4.246904147285454, 57.45341693017156, 0.0], [-4.246969248874034, 57.45338091471155, 0.0], [-4.246974278849168, 57.45337812937994, 0.0], [-4.247017276767012, 57.45335434189185, 0.0], [-4.247036913508654, 57.45334347693874, 0.0], [-4.247084247991584, 57.45331728665846, 0.0], [-4.24769635692482, 57.45363152779394, 0.0]]], ""type"": ""Polygon""}",30/01/2026,INVERNESS SUBSTATION,132000
"56.48457077106415, -4.363518544217731","{""coordinates"": [[[-4.363359163083773, 56.48473081968038, 0.0], [-4.363353769680459, 56.48473054492361, 0.0], [-4.363052732172105, 56.484702238497825, 0.0], [-4.362999038114927, 56.4846888267967, 0.0], [-4.362776926444182, 56.484587289548436, 0.0], [-4.362648880792517, 56.4845264417916, 0.0], [-4.362673053194277, 56.48451341071662, 0.0], [-4.362703953434224, 56.4844905348778, 0.0], [-4.362688267675731, 56.48448360705978, 0.0], [-4.362728004107557, 56.48446097101972, 0.0], [-4.362798501207469, 56.48442988221955, 0.0], [-4.362906982398805, 56.48439724436637, 0.0], [-4.363004931758582, 56.48438563148544, 0.0], [-4.363073893028108, 56.484379606712984, 0.0], [-4.363348086059866, 56.48439316526273, 0.0], [-4.363696435336061, 56.484418435565225, 0.0], [-4.3642839363907, 56.48446296508249, 0.0], [-4.364281526211559, 56.48446980782578, 0.0], [-4.36428049366911, 56.48447273926712, 0.0], [-4.364277976877494, 56.48447943485767, 0.0], [-4.364250697307446, 56.484555265158235, 0.0], [-4.364234858157364, 56.484600906044335, 0.0], [-4.364191046109742, 56.4847271624895, 0.0], [-4.364189255971887, 56.484732328137675, 0.0], [-4.36417535958847, 56.484772387058385, 0.0], [-4.364166580764826, 56.48478596730007, 0.0], [-4.363359163083773, 56.48473081968038, 0.0]]], ""type"": ""Polygon""}",30/01/2026,LOCHAY GRID,132000
"56.65439864059944, -2.8653845729533476","{""coordinates"": [[[-2.865097848727451, 56.65425956834328, 0.0], [-2.865025182866537, 56.65421664228411, 0.0], [-2.865459238107633, 56.65398973883073, 0.0], [-2.866131228100225, 56.65440494242558, 0.0], [-2.865426725346679, 56.65475362558118, 0.0], [-2.865266887306791, 56.65465709009444, 0.0], [-2.86511388414219, 56.654729930457684, 0.0], [-2.864614974667135, 56.65441579908242, 0.0], [-2.864883419581593, 56.65428551323783, 0.0], [-2.864958431441103, 56.65433195204211, 0.0], [-2.865097848727451, 56.65425956834328, 0.0]]], ""type"": ""Polygon""}",30/01/2026,LUNANHEAD SUBSTATION,132000
"58.44693674640405, -3.423732525635368","{""coordinates"": [[[-3.425183062366442, 58.446436643820185, 0.0], [-3.425184267656713, 58.44644674551602, 0.0], [-3.425188839591325, 58.44648501456079, 0.0], [-3.425198235171928, 58.44656366610751, 0.0], [-3.424849949518828, 58.44657607080014, 0.0], [-3.424868297524109, 58.44671164590996, 0.0], [-3.424927337596186, 58.44677467410573, 0.0], [-3.424792370931466, 58.44706776119747, 0.0], [-3.425126680547715, 58.44727860821464, 0.0], [-3.425099191761253, 58.447427150517264, 0.0], [-3.423351297118725, 58.448188254582625, 0.0], [-3.422754954342485, 58.44815854907367, 0.0], [-3.422121721052895, 58.44775693830103, 0.0], [-3.422085144698657, 58.447475179719106, 0.0], [-3.422166536313067, 58.44746924042314, 0.0], [-3.422188301701538, 58.44743681231975, 0.0], [-3.423049753384931, 58.447065387805374, 0.0], [-3.422731414452956, 58.4468636514288, 0.0], [-3.422739371361409, 58.4466477113723, 0.0], [-3.422566244643197, 58.446660172529754, 0.0], [-3.422432132304641, 58.44665649663727, 0.0], [-3.422439286851334, 58.44664587550138, 0.0], [-3.422767484914982, 58.44629762349327, 0.0], [-3.423221467878968, 58.44580894448334, 0.0], [-3.423359024577484, 58.4458028721998, 0.0], [-3.423645342500927, 58.445793261556865, 0.0], [-3.423766172767943, 58.44578920160365, 0.0], [-3.42384619585726, 58.44578651277251, 0.0], [-3.423846033390509, 58.44578418813249, 0.0], [-3.424091164256258, 58.445774609063676, 0.0], [-3.424302327374845, 58.44576635725461, 0.0], [-3.424501257813445, 58.44575858325313, 0.0], [-3.424928337326151, 58.44574189216062, 0.0], [-3.424965581231052, 58.446061252090395, 0.0], [-3.425112184358742, 58.44605897574447, 0.0], [-3.425137902267017, 58.44605857308045, 0.0], [-3.425154251058998, 58.446195489906316, 0.0], [-3.425159145537583, 58.446236440210704, 0.0], [-3.425181370642769, 58.44642247939728, 0.0], [-3.425183062366442, 58.446436643820185, 0.0]]], ""type"": ""Polygon""}",30/01/2026,MYBSTER SUBSTATION,132000
"56.337969225327335, -5.21093915088653","{""coordinates"": [[[-5.211025441436874, 56.337861421577095, 0.0], [-5.211120095394457, 56.33802153840274, 0.0], [-5.211130848354162, 56.33803866879424, 0.0], [-5.211128562845995, 56.338048213933575, 0.0], [-5.211101734167669, 56.338054074383244, 0.0], [-5.210936987232424, 56.338078798125174, 0.0], [-5.210903256701131, 56.33808351517367, 0.0], [-5.210907368493226, 56.33808853081454, 0.0], [-5.210882252414923, 56.3380914880941, 0.0], [-5.210872669037686, 56.33808994322794, 0.0], [-5.210866915778091, 56.33808167006866, 0.0], [-5.210820029320744, 56.33799196596539, 0.0], [-5.210791942292531, 56.33799650784418, 0.0], [-5.210742755156998, 56.337915415217964, 0.0], [-5.210733184096919, 56.337899634948485, 0.0], [-5.210964334261908, 56.33785768112439, 0.0], [-5.210990173699602, 56.33785478237403, 0.0], [-5.211019731257591, 56.33785146624692, 0.0], [-5.211025441436874, 56.337861421577095, 0.0]]], ""type"": ""Polygon""}",30/01/2026,NANT SUBSTATION,132000
"57.55379647982727, -4.616084782767574","{""coordinates"": [[[-4.61551117352485, 57.55378975257963, 0.0], [-4.615537512438777, 57.553767828971594, 0.0], [-4.615684019081172, 57.55375005486897, 0.0], [-4.615705604656561, 57.55374742289122, 0.0], [-4.615708877684266, 57.55374702345578, 0.0], [-4.615734224604301, 57.55367388800872, 0.0], [-4.61589652895556, 57.55368058868345, 0.0], [-4.615909600263379, 57.55360878600813, 0.0], [-4.615957173817247, 57.5536077999026, 0.0], [-4.616025921495162, 57.55360835187559, 0.0], [-4.616260856273551, 57.55360914318363, 0.0], [-4.616270341233476, 57.55360916043054, 0.0], [-4.616316699250854, 57.55360924360794, 0.0], [-4.616422503881658, 57.55360995452607, 0.0], [-4.61673581674242, 57.55361205945081, 0.0], [-4.616807755834068, 57.55361254213001, 0.0], [-4.616809019184748, 57.55376061183525, 0.0], [-4.616570837205579, 57.5538357340838, 0.0], [-4.616365604929809, 57.55388779664606, 0.0], [-4.616016426369483, 57.55399100984751, 0.0], [-4.61600365714235, 57.55399477922998, 0.0], [-4.615824236869331, 57.55399885766121, 0.0], [-4.615707407582645, 57.554001548721864, 0.0], [-4.615702900564986, 57.55400164213463, 0.0], [-4.615656335852206, 57.55404700003427, 0.0], [-4.615618698887051, 57.55403246725824, 0.0], [-4.615345991336988, 57.55392717287296, 0.0], [-4.615428345300531, 57.5538586972723, 0.0], [-4.61551117352485, 57.55378975257963, 0.0]]], ""type"": ""Polygon""}",30/01/2026,ORRIN SUBSTATION,132000
"56.02830888860236, -5.356614084961426","{""coordinates"": [[[-5.357154186626715, 56.028217617104474, 0.0], [-5.357140865798855, 56.02823377260154, 0.0], [-5.357010971065504, 56.02839130210253, 0.0], [-5.356941991086121, 56.02847495641227, 0.0], [-5.356909618726126, 56.028514214836335, 0.0], [-5.35683069406381, 56.02861434253682, 0.0], [-5.35674172623724, 56.02862258192665, 0.0], [-5.356690555966577, 56.02862732111275, 0.0], [-5.35662211825808, 56.028609572651575, 0.0], [-5.356103749529614, 56.0284751378237, 0.0], [-5.356069276424268, 56.028405798479106, 0.0], [-5.356425436789047, 56.02797144415273, 0.0], [-5.356974512074565, 56.02810620891264, 0.0], [-5.357137275311421, 56.02814615704073, 0.0], [-5.357166388406282, 56.02816819961372, 0.0], [-5.357169109673274, 56.028199520075376, 0.0], [-5.357154186626715, 56.028217617104474, 0.0]]], ""type"": ""Polygon""}",30/01/2026,PORT ANN SUBSTATION,132000
"57.15197073088131, -2.7872807269776625","{""coordinates"": [[[-2.78769032944801, 57.15174068737192, 0.0], [-2.787712470212385, 57.15219124306435, 0.0], [-2.786873843345713, 57.1522019864656, 0.0], [-2.78684737956573, 57.15174975094442, 0.0], [-2.78769032944801, 57.15174068737192, 0.0]]], ""type"": ""Polygon""}",30/01/2026,TARLAND SUBSTATION,132000
"57.069223829771566, -5.108493820032349","{""coordinates"": [[[-5.108848882617212, 57.06926733255689, 0.0], [-5.10845035662473, 57.069357568185616, 0.0], [-5.108283162466198, 57.06935745267865, 0.0], [-5.108218282773283, 57.06926385881514, 0.0], [-5.108195127107131, 57.069156238769004, 0.0], [-5.108526160044427, 57.06907763196493, 0.0], [-5.108759054719318, 57.06915177570873, 0.0], [-5.108848882617212, 57.06926733255689, 0.0]]], ""type"": ""Polygon""}",30/01/2026,QUOICH TEE GRID,132000
"56.74020199727642, -2.628159034663743","{""coordinates"": [[[-2.628623248246832, 56.740417263281074, 0.0], [-2.627605006751459, 56.74033255701776, 0.0], [-2.627682632440266, 56.739988994341225, 0.0], [-2.628720453057331, 56.74007089615156, 0.0], [-2.628623248246832, 56.740417263281074, 0.0]]], ""type"": ""Polygon""}",30/01/2026,BRECHIN SWITCHING STATION,132000
